stock_id,stock_name,last_updated_at
81,P.H.CAPITAL ,2014-07-11
164,LORDS CHLORO,2014-07-15
213,SAMTEL IND. ,2014-07-14
301,CENTRUM CAP ,2014-07-14
305,INDUS.&PRUD.,2014-07-15
309,W.H.BRADY   ,2014-07-15
310,SHA ENG PLA ,2014-07-14
316,THANA ELECT ,2014-07-08
330,RAASI REFRAC,2014-07-09
332,NILACHAL REF,2014-07-11
348,KATARE SPG. ,2014-07-15
364,DHANLEELA   ,2014-07-14
378,SWAD.POLYTEX,2014-07-11
381,SHREE MFG CO,2014-07-01
401,DELTON CABLE,2014-07-15
451,TULIVE      ,2014-07-02
481,HIND.EVEREST,2014-07-11
498,SUDAL INDUS ,2014-07-15
502,MAHESH.AGR. ,2014-07-14
510,INDIACO VEN ,2014-07-14
511,VYAPAR INDS ,2014-07-15
513,ASISL       ,2014-06-30
521,AMINES&PLAST,2014-07-15
525,BORAX MORARJ,2014-07-08
533,JL MORISON  ,2014-07-15
543,SADHANA NITR,2014-07-15
556,GUJ.PETRO   ,2014-07-08
565,ADV.PETROCH.,2014-06-23
575,VISHNU SUGAR,2014-06-23
584,CAPROLA.CHEM,2014-07-07
601,SAGAR SOYA  ,2014-07-15
616,COMPUTER PNT,2014-07-08
619,ASHNOOR TEX.,2014-07-15
629,RAS RESORTS ,2014-06-24
630,JOLLY PLAST.,2014-07-09
642,SMIFS CAPITA,2014-07-15
650,SHRICON IND.,2014-07-14
668,PHOTON CAP  ,2014-06-18
673,M.M.RUBBER  ,2014-07-11
677,BHAGWATI OXY,2014-07-15
698,MODERN SHARE,2014-07-09
723,RAASI ENT   ,2014-06-23
724,MAHAMAYA INV,2014-07-09
729,WHITE LION A,2014-07-15
733,PAL CREDIT  ,2014-07-11
740,DFLINFRA    ,2014-07-09
749,DHARANI FIN.,2014-07-10
754,CAPITAL TRUS,2014-07-15
758,GSB FINANCE ,2014-07-07
759,MORARKA FIN.,2014-07-09
763,REGENCY TRUS,2014-07-11
766,YASH MANAGE.,2014-07-15
773,IMCAP       ,2014-07-10
774,SAMBHAAV MED,2014-07-11
775,DJS STOCK   ,2014-07-15
777,OMEGA INTERA,2014-07-14
782,BGIL FL TEC ,2014-07-09
787,WARNER MULTI,2014-07-15
790,BHAGYASHREE ,2014-07-14
794,CAPMAN FIN. ,2014-07-15
798,TRC FINAN.SE,2014-06-18
799,PASUPATI FIN,2014-07-10
802,ABIRAMI FIN.,2014-07-15
803,SEVENHILL   ,2014-07-14
818,ORGAN COMM. ,2014-07-15
823,ENSA STEEL  ,2014-07-15
827,VAMA INDS   ,2014-07-15
830,SILVEROAK   ,2014-07-14
833,FINAVENT    ,2014-07-11
852,INNOVENT    ,2014-07-15
855,I-POWER SOLS,2014-07-15
863,SANTOWIN    ,2014-07-15
873,R.T.EXPORTS ,2014-07-14
889,TRANSFREIGHT,2014-07-15
893,ABC GAS INT ,2014-07-01
912,BHUWALKA ST.,2014-07-11
918,RAJKUMAR FRG,2014-07-14
925,TRINETRA    ,2014-07-09
926,PARTH ALUM. ,2014-06-26
931,MAHALAXMI SM,2014-07-15
950,PRESHA MET  ,2014-07-15
954,SPECTRA IND.,2014-07-11
959,WHITE DIAMON,2014-07-15
967,ADHINATH TEX,2014-07-15
968,GUPTA SYNTH.,2014-07-15
972,SURYAVA SPIN,2014-07-15
991,HANJER FIBRE,2014-07-07
993,RAGHUVIR SYN,2014-07-15
999,PREMIER POLY,2014-07-15
1001,YARN SYNDICA,2014-07-09
1002,GUJ COTEX   ,2014-07-15
1008,BPTEX       ,2014-07-14
1014,ASAHI IND   ,2014-07-08
1021,SRIVAJRA GRA,2014-07-15
1023,GEE GEE GRAN,2014-07-07
1027,SARDA PLY.  ,2014-07-15
1031,STAR PAPER  ,2014-07-15
1035,JUMBO BAG   ,2014-07-14
1039,S.I.PAPER   ,2014-07-15
1042,RUTTONSHA IN,2014-07-14
1054,KLKELEC     ,2014-07-15
1062,BCC FUBA    ,2014-07-10
1078,VINTRON INF.,2014-07-15
1086,INNOV.SOFTW.,2014-07-04
1096,DHINDIA     ,2014-07-10
1099,SURANATP    ,2014-07-15
1102,ALFA TRANSFO,2014-07-15
1119,RITESH INTER,2014-07-15
1124,ASHIANA AGRO,2014-07-15
1138,MURLI INDU  ,2014-07-15
1190,ADV LIFESTY ,2014-07-15
1191,KAKATIYA TEX,2014-07-15
1202,PRIME URBAN ,2014-07-10
1204,SRI LAK.SAR.,2014-07-14
1211,SIL INVEST  ,2014-07-08
1218,SUNIL INDUS.,2014-07-15
1219,SRI NACHAMAI,2014-07-08
1221,KANDAGIRI SP,2014-07-10
1244,TECHNO FORGE,2014-07-15
1250,ITL INDUSTRS,2014-07-15
1259,SHIVAGRICO  ,2014-07-11
1269,AHMED.STEEL ,2014-07-08
1286,RAJDHANI.LEA,2014-07-02
1287,JJ FINANCE  ,2014-06-24
1289,FUTURA SEC. ,2014-07-14
1291,ADOR MULTI. ,2014-07-15
1331,SUNRAJ DIAM.,2014-07-15
1357,PHARMASIA   ,2014-07-14
1358,PODDARDEV   ,2014-07-15
1388,SOVEREIGN DI,2014-07-14
1396,AXTEL INDUS.,2014-07-15
1400,V.R. WOODART,2014-07-15
1409,HAR.LEATHER ,2014-07-15
1412,LINEAR POLY ,2014-07-15
1415,PEE CEE COSM,2014-07-10
1423,PENTOKEY ORG,2014-07-10
1433,VBC IND.    ,2014-07-15
1445,BIOFIL CHEM ,2014-07-15
1459,TULASEE BIO-,2014-06-30
1470,VIVID IND   ,2014-07-10
1471,PRIYA LTD.  ,2014-07-10
1488,WELCURE DRUG,2014-07-15
1511,EMMESSAR BIO,2014-07-15
1512,NGL FINE CHM,2014-07-15
1527,KCCLPLASTC  ,2014-07-15
1545,BLOOM DEKOR ,2014-07-10
1546,FILATEX INDI,2014-07-15
1551,DIVYAJYOTI I,2014-07-01
1567,REGENCY HOSP,2014-07-11
1574,DATASOFT APP,2014-07-15
1575,U G HOTELS  ,2014-07-11
1580,PUNEET RESIN,2014-07-15
1584,SYSTAMATIX C,2014-07-09
1589,SFPIL       ,2014-07-15
1594,JAMES HOTELS,2014-07-15
1595,LONGVIEW TEA,2014-07-15
1601,B NANJI ENT.,2014-07-11
1621,ELEGANT MARB,2014-07-14
1624,ADARSH PLANT,2014-07-14
1632,SUASHISH DIA,2014-06-20
1639,HOWARD HOTEL,2014-07-11
1643,MAHASAGAR TR,2014-07-09
1654,SHAKTI PRESS,2014-07-11
1658,AREX IND.   ,2014-07-15
1664,UT LTD.     ,2014-07-14
1666,INDO CREDIT ,2014-07-04
1667,MARKET CREAT,2014-07-15
1679,ABL BIO-TECH,2014-07-11
1682,DHOOT I.FIN.,2014-07-15
1696,TITAN SECUR.,2014-07-08
1722,DAULAT SEC. ,2014-07-04
1723,OSCAR GLOBAL,2014-07-10
1728,BAGADIA COLO,2014-07-15
1732,FORTUNE INT.,2014-06-20
1735,GANDHI.HOTEL,2014-07-14
1737,MANGALYA SOF,2014-07-15
1741,INTER ST.OIL,2014-07-08
1744,SAINIK FIN. ,2014-07-07
1767,VALLABH POLY,2014-07-10
1768,JINDAL CAP. ,2014-07-14
1771,CHOKSI IMAG ,2014-07-08
1780,SABOO SODIUM,2014-07-15
1781,TINNARUBR   ,2014-07-15
1791,TERAI TEA CO,2014-07-15
1799,EXPLICIT FIN,2014-07-15
1803,JAGSON FIN. ,2014-06-18
1821,AJEL        ,2014-07-15
1826,SUPER BAKERS,2014-07-07
1829,INDO ASN.FIN,2014-07-10
1831,SUNBRIGHT   ,2014-07-11
1832,DEVKI LEAS. ,2014-07-15
1836,INLAND PRINT,2014-07-10
1839,SHREE GANES.,2014-06-27
1842,NETVISTA INF,2014-07-11
1844,REFNOL RESIN,2014-07-10
1858,ASIA PACK   ,2014-07-15
1864,GANGOTRI IRO,2014-07-10
1875,SHANTIVIJAY ,2014-07-15
1878,VENMAX      ,2014-07-15
1880,REGAL ENTERT,2014-07-09
1882,NEELKANTH RO,2014-07-15
1886,UNITED CRED.,2014-07-14
1900,SAUMYACAP   ,2014-07-09
1909,TAVERNIER   ,2014-07-09
1921,FRONTIER INF,2014-07-15
1931,ESHAMEDIA   ,2014-07-11
1932,SURYA IND.CO,2014-07-11
1934,B2B SOFT.   ,2014-07-10
1943,ARTEFACT PR ,2014-07-15
1944,AMIT INTNL. ,2014-07-11
1945,HIGH STREET ,2014-07-11
1948,SANTARAM SPN,2014-07-14
1955,GUJ.INVESTA ,2014-07-15
1959,PEETI SECURT,2014-07-10
1969,ARIHANT FOUN,2014-07-15
1971,UPSURGE INV.,2014-07-14
1972,WOMEN NETWOR,2014-07-11
1973,POLYCON INT.,2014-07-09
1974,SOURCENTRL  ,2014-07-14
1979,RADIX IND   ,2014-07-15
1980,KIRAN PRINT ,2014-07-09
1990,GOLDSTONE EN,2014-07-15
1994,POLYLINK POL,2014-07-15
1998,NOUVEAU     ,2014-07-15
2004,BLUECOAST   ,2014-07-10
2017,ACE SOFTWARE,2014-07-15
2022,JINDAL WORLD,2014-07-15
2026,RAGHUNATH TO,2014-07-15
2032,KMF BUILDERS,2014-07-09
2041,KOFF BR PICT,2014-07-14
2047,CENTERAC    ,2014-07-03
2053,TOKYO FINANC,2014-07-09
2055,RFL INTERNAT,2014-07-15
2059,MAHAVIR IMPE,2014-07-15
2064,AMARDEEP IND,2014-07-09
2074,TRICOMFRU   ,2014-07-07
2077,ALPHA GRAPHI,2014-07-14
2087,ENCORE SOFT.,2014-07-08
2091,UNJHA FORMUL,2014-07-10
2095,AZURE EXIM  ,2014-06-30
2101,METAL COATIN,2014-07-09
2110,UNISYS SOFT.,2014-07-10
2112,IEC EDU     ,2014-07-14
2113,INDUSFIN    ,2014-07-14
2122,UNITECH INTE,2014-07-01
2141,INNOCORP L  ,2014-07-14
2146,GENIUS COMMU,2014-07-15
2147,SERVOTECH EN,2014-07-08
2153,SHREMETAL   ,2014-07-09
2159,DECCAN POLYP,2014-07-15
2160,AMRAWOR AGRI,2014-07-14
2162,INDUCTO STL.,2014-07-15
2177,KILPEST (I) ,2014-07-11
2179,MONNET IND. ,2014-07-15
2200,H.S.(I) LTD.,2014-07-15
2248,KDL BIOTECH ,2014-07-15
2255,KJMCCORP    ,2014-07-08
2274,CURATECH    ,2014-07-14
2279,OMNI AX'S SO,2014-07-15
2290,VIRGOGLOBAL ,2014-07-15
2297,CYBERSCAPE M,2014-07-15
2310,UNIVERSAL A ,2014-07-15
2315,CALIFORN.SOF,2014-07-15
2316,PRITISHN COM,2014-07-15
2323,UMESL       ,2014-07-15
2326,USGTECH     ,2014-07-15
2422,NR INTERNA  ,2014-07-15
2433,CYBER MEDIA ,2014-07-11
2519,INDICAP     ,2014-07-15
2560,SHREE ASHTA ,2014-06-19
2577,TRANSWARRANT,2014-07-15
2585,INDUSFILA   ,2014-07-14
2646,VTM LTD     ,2014-07-15
2648,NAGREKA CAP ,2014-07-15
2725,CHL LTD     ,2014-07-08
2746,GI ENGINERG ,2014-07-15
2751,MANJEERA    ,2014-07-11
2762,SURYAMBA SP ,2014-07-15
2817,FRONT SEC   ,2014-07-14
2892,PARAMOUNT PR,2014-07-15
2897,BSLGOLDETF  ,2014-07-14
2958,CRMFGETF    ,2014-07-15
2959,VINAYAK POL ,2014-07-02
2966,INTELL ADV  ,2014-06-18
2967,ICVL STEELS ,2014-06-18
2968,ICVL CHEM   ,2014-07-14
2969,AXISCPO5GP  ,2014-07-09
2970,BHANOTCHL   ,2014-07-10
2992,BOTHRA MET  ,2014-07-15
3000,SREELEATHER ,2014-07-15
3008,EDSL        ,2014-07-14
3014,SILINFRA    ,2014-06-18
3028,BP CAPITAL  ,2014-07-07
3034,SUYOG TELE  ,2014-06-24
3039,UNISHIRE    ,2014-07-15
3043,BCP LTD     ,2014-06-25
3052,RNB DENIMS  ,2014-06-26
3058,TARANG PRO  ,2014-07-15
3059,GCM CAPI    ,2014-06-18
3079,BHARAT RA(PS,2014-07-11
3087,KALPTARU    ,2014-07-15
3100,BRUSHMAN IND,2014-07-15
3115,EASTERN GAS ,2014-07-15
3116,BRAHMANAND  ,2014-07-15
3135,PSUBNK BEES ,2014-07-15
3137,HNGSNG BEES ,2014-07-03
3145,JAY MAHESH  ,2014-07-09
3147,TITAN IND.  ,2014-07-15
3151,TATA CHEMICA,2014-07-09
3153,CONTAIN CORP,2014-07-15
3162,LOOKS       ,2013-10-11
